"","CdStationHydro","CdStationHydroAncienRef","LbStationHydro","TypStationHydro","DtMiseServiceStationHydro","DtFermetureStationHydro","ProjCoordStationHydro","CoordXStationHydro","CoordYStationHydro","NomIntervenant","LbAffichageStationHydro"
"101","A157022201","A1572220","La Vieille Thur à Sainte-Croix-en-Plaine","STD","1969-12-01 00:00:00+01","1986-03-01 12:00:00+01","26",1024375,6779020,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"102","A157022301","A1572210","La Vieille Thur à Réguisheim","STD","1965-08-01 00:00:00+01","1975-09-01 12:00:00+01","26",1023668,6764426,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"103","A157022401","A1562210","La Vieille Thur à Ungersheim","STD","1975-09-15 00:00:00+01","2001-01-12 13:05:00+01","26",1022227,6759742,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"104","A158020101","A1583010","La Lauch à Colmar [Dachsbuhl]","STD","1963-03-01 00:00:00+01","1988-11-09 12:00:00+01","26",1026183,6782305,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"105","A160095201","A1599510","Le ruisseau de Logelbach à Turckheim","STD","1964-01-01 00:00:00+01","1995-01-01 12:00:00+01","26",1017157,6784467,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"106","A161003001","A1350310","L'Ill à Colmar [Ladhof]","STD","1958-11-10 00:00:00+01",NA,"26",1026230,6787078,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"107","A200000101","A2012005","La Fecht [Source] à Mittlach - source","STD","1911-11-11 00:00:00+00","1911-11-12 00:00:00+00","26",999960,6773984,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"108","A201010001","A2012020","La Fecht à Muhlbach-sur-Munster","STD","1978-09-01 00:00:00+02",NA,"26",1004799,6777234,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"109","A201010101","A2012010","La Fecht à Metzeral","STD","1976-08-01 00:00:00+02","1979-01-01 12:00:00+01","26",1003492,6776007,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"110","A202030001","A2023030","La Petite Fecht à Stosswihr [Village]","STD","1976-08-27 00:00:00+02",NA,"26",1006144,6780352,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"111","A202030101","A2023010","Le ruisseau de la Schlucht à Stosswihr [Sofflat]","STD","1969-11-01 00:00:00+01","1977-05-01 12:00:00+02","26",1001132,6779996,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"112","A202030201","A2023020","La Petite Fecht à Stosswihr [Grossmatt]","STD","1969-11-01 00:00:00+01","1975-09-01 12:00:00+01","26",1002738,6780446,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"113","A203053001","A2035310","Le ruisseau le Krebsbach à Soultzbach-les-Bains","STD","1976-08-19 00:00:00+02","2000-05-02 10:30:00+02","26",1012998,6779749,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"114","A204010001","A2040100","La Fecht à Turckheim","STD","1993-10-23 00:00:00+01",NA,"26",1018059,6784718,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"115","A204010101","A2042010","La Fecht à Wintzenheim [La Forge]","STD","1955-10-06 00:00:00+01","2007-01-09 09:15:00+01","26",1015101,6782118,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"116","A204010201","A2030100","La Fecht à Wihr-au-Val [rue de la Fecht]","STD","2006-09-08 00:00:00+02",NA,"26",1013398,6780262,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"117","A210020001","A2102010","La Weiss à Orbey [Faing]","STD","1988-11-04 00:00:00+01","2001-01-11 10:00:00+01","26",1008509,6788072,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
