numero,nom,x1,a1,b1,x2,a2,b2,x3,a3,b3,x4,a4,b4
57,"127 (3-83909 /C2 n° 46393) 9mm",0.61,0.2207,0.025,,0.252,0.006,,,,,,
58,"153 (1-42578)/(C2 15299) 9 mm",5.79,0.058,0.018,,0.0542,0.04,,,,,,
59,"155 (3-15299)/(C2 15299) 20 mm",0.66,0.2151,0.048,2.89,0.2437,0.029,,0.252,0.005,,,
60,"154 (3-15299)/(C2 15299) 9 mm",0.47,0.2183,0.038,2.74,0.2416,0.027,,0.25,0.004,,,
61,"ZTTC31h125(210650à210717)s100k",0.65,0.2345,0.014,,0.251,0.003,,,,,,
62,"ZTTC31h125(210650à210717)s50kg",0.73,0.2345,0.014,,0.2493,0.003,,,,,,
63,"OTT-C2 p.20mm etalon n°300808",2.32,0.0622,0.017,7.78,0.0566,0.03,,0.0539,0.051,,,
64,"OTT-C2 p.20mm etalon n°327876",8.18,0.0571,0.037,12.14,0.0549,0.055,,0.0535,0.07199999999999999,,,
65,"OTT-C2 p.20mm etalon n°309137",1.43,0.1012,0.018,5.63,0.1047,0.013,,0.1031,0.022,,,
66,"OTT-C2 p.20mm hélice n°383749",2.08,0.06320000000000001,0.015,8,0.056,0.03,,0.054,0.046,,,
67,"OTT-C2 p.20mm hélice n°391102",0.9399999999999999,0.1072,0.008999999999999999,11.11,0.104,0.012,,0.1031,0.022,,,
70,"OTT-C2 30mm hélice 443220 CF",2.35,0.0603,0.024,11.05,0.0569,0.032,,0.055,0.053,,,
71,"90303.1",2.31,0.0623,0.019,6.52,0.0571,0.031,,0.0548,0.046,,,
75,"1-246707 (DRIEE)",0.6,0.2308,0.017,,0.2458,0.008,,,,,,
80,"OTT-C2 50mm hélice 441882 CF",1.5,0.1022,0.014,10,0.1042,0.011,,0.1032,0.021,,,
81,"OTT-C2 50mm hélice 444716 CF",1.86,0.06320000000000001,0.014,8.15,0.0573,0.025,,0.0546,0.047,,,
91,"90303.1",2.31,0.0623,0.019,6.52,0.0571,0.031,,0.0548,0.046,,,
95,"1-246707 (DRIEE)",0.6,0.2308,0.017,,0.2458,0.008,,,,,,
99,"165336.1",2.09,0.0615,0.015,7.43,0.0572,0.024,17.71,0.0537,0.05,,0.0537,0.05
100,"c2 169508.3",0.66,0.2345,0.018,,0.2558,0.004,,,,,,
101,"143 C31 195324 - hR n°193271",0.83,0.2333,0.023,,0.2489,0.01,,,,,,
102,"141 C2 198007 - h2 n°193344 ",5.38,0.1043,0.014,,0.103,0.021,,,,,,
103,"142 C2 198007 - h3 n°199092",0.74,0.2432,0.015,,0.2567,0.005,,,,,,
109,"C31 plastique-8",0.71,0.224,0.037,,0.252,0.017,,,,,,
