nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,cotedebordement,coteseuil,codehydro3,codesitehydro3,synchronisation
102,"K0773220","PONCINS","LIGNON du FOREZ",,,,664,"S","430450",7.93,1.1,68,98,120,"K0773220","Nivellement 1992: le zero echelle se trouve à la cote 332.08 NGF.

En crue les premiers débordements interviennent pour une haut echelle de l'ordre de 220cm déjà 500m en amont RG générant dans un  premier temps une zone de stockage sur la zone du terrain de foot et tennis.
Une partie de cette masse d'eau revient s 'écouler sous le pont et l'autre va rejoindre le ruisseau RD qui passe sous la route entre poncins et Bruliole. que l'on jauge sur un ponceau .Débitance max de cet ouvrage 4.5 m3/s environ.

Pour les plus hautes eaux et sur la base du profil altimetrique, le débordement depuis l'amont  RG  au dessus de la route de Poncins  intervient à partir du niveau alti voisin de 334.9 m soit une côte échelle d'environ 2.80-2.90m .
Zone de cassure sur le tracé de la CT au voisinage de 2.80m- 2.90m.  

Pour les statistiques d'étiage sachant que le débit du Vizey à précivet est ""enthropisé"" par l'influence du canal du Forez lors des périodes estivales d'irriguation des culutures, elles ne sont pas pertinentes pour juger de la criticité de l'étiage.
Sur le secteur il faudra plutôt se baser sur la statistique d'étiage de la station de Boen sur lignon pour évaluer les périodes de retour pour les très bas débits.","11/14/97 00:00:00","00",,,33225,"04/18/24 15:22:00","10/15/92 17:55:00",280,,"K077322001","K0773220",
103,"K0910010","VILLEREST","LOIRE",780645,6545250,,6603,"S","430450",65.5,12.9,593,940,1170,"K0910010","Mise à jour des débits caractéristiques le 02/05/2025","11/14/97 00:00:00","00",,,26851,"05/02/25 15:31:00",,,,"K091001010","K0910010",
105,"K2075020","NAUSSAC (AVAL","DONOZAU",,,,55.200001,"S","430450",,,,,,"K2075020",,"11/19/01 00:00:00","00",,,88754,"04/18/24 15:35:00",,,,"K207502001","K2075020",
106,"K2090810","SAINT HAON ( NOUVEAU MONDE","ALLIER",758741,6415789,,517,"S","430450",11.6,3.2,200,350,440,"K2090810",,"11/14/97 00:00:00","00",,,73332,"12/17/15 14:11:00",,,,"K209081001","K2090810",
111,"K2330810","VIEILLE-BRIOUDE","ALLIER",732054,6462478,,2269,"S","430450",28.4,2.9,360,580,720,"K2330810",,"11/14/97 00:00:00","00",,,,"12/17/15 14:23:00",,,,"K233081001","K2330810",
117,"K2680810","VIC LE COMTE","ALLIER",715719,6506872,,5382,"S","430450",60.5,13.2,433,700,876,"K2680810","mis à jour le 08/03/2025","11/17/97 00:00:00","00",,,,"04/08/25 10:18:00",,,,"K268081001","K2680810",1
118,"K2680820","COUDES","ALLIER",716466,6501746,,5327,"S","430450",50.7,13.7,420,658,816,"K2680820","mis à jour le 08/04/2025","11/17/97 00:00:00","00",,,34754,"04/08/25 10:10:00",,,,"K268082001","K2680820",1
123,"K3030810","ST YORRE","ALLIER",735488,6551475,,8940,"S","430450",92.3,18,533,793,965,"K3030810","mis à jour le 08/03/2025","11/17/97 00:00:00","00",,,,"04/08/25 10:29:00",,,,"K303081001","K3030810",1
129,"K2790810","LIMONS (PONT DE LIMONS)","ALLIER",734695,6541176,,7027,"S","430450",68.40000000000001,12.1,398,605,741,"K2790810","La côte de début de débordement  sur la RD entre Pont de Limons et Puy Guillaume été estimée lors de l'astreinte de jaugeage du 14 juin 2020 aux environ de 305cm à l'issue du 2ème jaugeage réalisé ce jour.
Pour la côte 310 cm lors du  troisième jaugeage une zone de débordement sur la RD apparait sur 50m avec une lame d'eau moyenne de 10cm.
mis à jour le 08/03/2025","11/21/97 00:00:00","00",,,,"04/08/25 10:24:00",,305,,"K279081001","K2790810",1
141,"K0813020","ST GERMAIN LAVAL","AIX",776618,6526540,,190,"S","430450",2.91,0.23,33,47,57,"K0813020",,"12/17/15 15:49:00",,,,37692,"12/17/15 15:50:00",,,,"K081302001","K0813020",
