"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"180",2015-05-07T08:40:00.000Z,,"Perche point par point",0.435,1.53,2023-06-05T15:33:03.000Z
"178",2014-06-10T08:40:00.000Z,,"Perche point par point",0.29,0.427,2023-06-05T15:33:03.000Z
"177",2014-03-13T08:45:00.000Z,,"Mesure par ADCP",0.445,1.8800000000000001,2023-06-05T15:33:03.000Z
"176",2013-08-22T08:40:00.000Z,,"Perche point par point",0.228,0.194,2023-06-05T15:33:03.000Z
"175",2013-04-19T08:25:00.000Z,,"Mesure par ADCP",0.5,2.58,2023-06-05T15:33:03.000Z
"174",2013-03-22T08:35:00.000Z,,"Mesure par ADCP",0.41000000000000003,1.73,2023-06-05T15:33:04.000Z
"173",2012-12-18T12:20:00.000Z,,"Mesure par ADCP",0.525,2.83,2023-06-05T15:33:04.000Z
"172",2012-08-21T07:55:00.000Z,,"Perche point par point",0.188,0.063,2023-06-05T15:33:04.000Z
"171",2012-05-03T08:15:00.000Z,,"Mesure par ADCP",0.41000000000000003,1.41,2023-06-05T15:33:04.000Z
"170",2012-03-20T10:15:00.000Z,,"Perche point par point",0.31,0.634,2023-06-05T15:33:04.000Z
"169",2012-03-20T09:40:00.000Z,,"Mesure par ADCP",0.31,0.641,2023-06-05T15:33:04.000Z
"168",2012-02-28T09:35:00.000Z,,"Mesure par ADCP",0.33,0.812,2023-06-05T15:33:05.000Z
"167",2012-01-18T09:15:00.000Z,,"Mesure par ADCP",0.335,0.8320000000000001,2023-06-05T15:33:05.000Z
"166",2011-07-26T08:20:00.000Z,,"Perche point par point",0.24,0.20400000000000001,2023-06-05T15:33:05.000Z
"165",2011-02-18T09:25:00.000Z,,"Perche point par point",0.265,0.327,2023-06-05T15:33:05.000Z
"164",2011-01-25T09:20:00.000Z,,"Mesure par ADCP",0.3,0.493,2023-06-05T15:33:05.000Z
"163",2010-12-08T10:55:00.000Z,,"Mesure par ADCP",0.5,2.5100000000000002,2023-06-05T15:33:06.000Z
"162",2010-09-21T08:15:00.000Z,,"Perche point par point",0.20800000000000002,0.08700000000000001,2023-06-05T15:33:06.000Z
"161",2010-06-17T11:21:00.000Z,,"Mesure par ADCP",0.5760000000000001,2.93,2023-06-05T15:33:06.000Z
"160",2010-05-26T08:30:00.000Z,,"Mesure par ADCP",0.385,1.08,2023-06-05T15:33:06.000Z
"159",2010-05-18T08:30:00.000Z,,"Mesure par ADCP",0.41500000000000004,1.44,2023-06-05T15:33:06.000Z
"158",2009-09-22T09:00:00.000Z,,"Perche point par point",0.178,0.04,2023-06-05T15:33:06.000Z
"157",2009-08-19T09:45:00.000Z,,"Perche point par point",0.19,0.058,2023-06-05T15:33:07.000Z
"156",2009-07-28T08:20:00.000Z,2009-07-28T08:40:00.000Z,"Perche point par point",0.203,0.081,2023-06-05T15:33:07.000Z
"155",2009-06-23T08:50:00.000Z,,"Perche point par point",0.27,0.292,2023-06-05T15:33:07.000Z
"154",2009-04-21T08:00:00.000Z,,"Mesure par ADCP",0.37,0.9530000000000001,2023-06-05T15:33:07.000Z
"153",2009-03-24T09:45:00.000Z,,"Mesure par ADCP",0.425,1.45,2023-06-05T15:33:07.000Z
"152",2009-02-25T13:00:00.000Z,,"Mesure par ADCP",0.33,0.713,2023-06-05T15:33:08.000Z
