"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"107",2008-08-11T08:00:00.000Z,,"Perche par intégration",0.72,0.163,2022-04-05T11:13:50.000Z
"106",2008-07-23T09:00:00.000Z,2008-07-23T09:11:00.000Z,"Perche par intégration",0.71,0.152,2022-04-05T11:13:51.000Z
"105",2008-06-18T13:50:00.000Z,2008-06-18T14:05:00.000Z,"Perche par intégration",0.8300000000000001,0.659,2022-04-05T11:13:51.000Z
"85",2005-12-06T11:15:00.000Z,,"Perche par intégration",1.1500000000000001,3.0300000000000002,2022-04-05T11:14:05.000Z
"84",2005-11-29T10:30:00.000Z,,"Perche par intégration",0.89,0.617,2022-04-05T11:14:06.000Z
"83",2005-10-19T13:30:00.000Z,2005-10-19T13:45:00.000Z,"Perche par intégration",0.755,0.14300000000000002,2022-04-05T11:14:07.000Z
"82",2005-09-07T10:15:00.000Z,,"Perche par intégration",0.745,0.123,2022-04-05T11:14:07.000Z
"81",2005-06-16T08:10:00.000Z,,"Perche par intégration",0.77,0.292,2022-04-05T11:14:08.000Z
"80",2005-03-31T09:00:00.000Z,,"Perche par intégration",1.05,1.92,2022-04-05T11:14:09.000Z
"79",2005-02-08T10:00:00.000Z,,"Perche par intégration",0.9400000000000001,1.17,2022-04-05T11:14:09.000Z
"78",2005-01-05T11:35:00.000Z,2005-01-05T11:47:00.000Z,"Mesure par ADCP",1.1300000000000001,2.72,2022-04-05T11:14:10.000Z
"77",2004-11-02T11:30:00.000Z,,"Perche par intégration",1.1300000000000001,2.54,2022-04-05T11:14:11.000Z
"76",2004-10-05T10:50:00.000Z,,"Perche par intégration",0.705,0.115,2022-04-05T11:14:12.000Z
"75",2004-07-30T08:30:00.000Z,,"Perche par intégration",0.73,0.193,2022-04-05T11:14:13.000Z
"74",2004-06-15T08:25:00.000Z,,"Perche par intégration",0.745,0.188,2022-04-05T11:14:13.000Z
"71",2004-05-13T09:10:00.000Z,,"Perche par intégration",0.9,0.937,2022-04-05T11:14:15.000Z
"70",2004-04-01T09:10:00.000Z,,"Perche par intégration",0.84,0.525,2022-04-05T11:14:16.000Z
"69",2004-01-14T10:14:00.000Z,2004-01-14T10:43:00.000Z,"Saumon par intégration",3.47,22.5,2022-04-05T11:14:17.000Z
"68",2003-11-28T10:15:00.000Z,,"Perche par intégration",1.25,3.2800000000000002,2022-04-05T11:14:17.000Z
"67",2003-10-01T10:05:00.000Z,,"Perche par intégration",0.73,0.085,2022-04-05T11:14:18.000Z
