"","minima_day_1986","minima_day_1987","minima_day_1988","minima_day_1989","minima_day_1990","minima_day_1991","minima_day_1992","minima_day_1993","minima_day_1994","minima_day_1995","minima_day_1996","minima_day_1997","minima_day_1998","minima_day_1999","minima_day_2000","minima_day_2001","minima_day_2002","minima_day_2003","minima_day_2004","minima_day_2005","minima_day_2006","minima_day_2007","minima_day_2008","minima_day_2009","minima_day_2010","minima_day_2011","minima_day_2012","minima_day_2013","minima_day_2014","minima_day_2015","minima_day_2016","minima_day_2017","minima_day_2018","minima_day_2019","minima_day_2020","minima_day_2021","minima_day_2022","minima_day_2023","minima_day_2024","minima_day_2025","cluster_col_data"
"A983201001 FAULQUEMONT",159,216,NA,NA,179,183,189,197,199,211,178,NA,NA,NA,201,270,169,235,294,NA,NA,183,NA,160,208,158,164,240,176,208,279,235,156,235,281,189,102,NA,NA,NA,4
"A973121001 ANCERVILLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,169,182,178,264,NA,160,169,188,165,282,147,208,231,173,200,249,183,NA,NA,NA,NA,NA,1
"A523011001 BEGNÉCOURT (HEUCHELOUP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,192,NA,234,203,NA,NA,NA,NA,NA,1
"A643112002 BLÂMONT [AMONT]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"A788101002 METZ PONT LOTHAIRE AMONT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,209,NA,NA,NA,NA,2
"A350010001 DRUSENHEIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,265,216,228,255,NA,NA,NA,235,NA,223,261,182,NA,170,247,244,NA,NA,NA,215,NA,284,198,3
"A228003001 CHASSEUR FROID ROBERTSAU_TOTAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,182,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"A907105050 DIEDENDORF",NA,NA,NA,NA,NA,NA,NA,NA,NA,172,178,NA,170,274,181,180,262,181,NA,273,NA,179,NA,NA,166,140,142,196,NA,62,NA,233,NA,210,NA,196,NA,192,138,184,3
"A909106050 KESKASTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,172,253,NA,301,NA,181,136,100,NA,169,328,271,NA,184,NA,231,145,188,204,NA,197,NA,318,NA,NA,NA,287,193,180,138,184,1
"A926000101 OERMINGEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,174,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,201,150,NA,1
