noct,cdatedeb,cdatefin
794968,"01/01/19 00:00:00","01/01/30 00:00:00"
794970,"01/01/19 00:00:00","11/23/19 16:25:00"
798251,"01/01/19 00:00:00","01/01/30 00:00:00"
798253,"01/01/19 00:00:00","11/23/19 16:25:00"
798445,"12/09/03 23:00:00","01/15/04 01:00:00"
798445,"01/16/04 23:00:00","01/18/04 01:00:00"
798445,"01/20/04 23:00:00","01/22/04 01:00:00"
802409,"01/01/19 00:00:00","01/01/30 00:00:00"
802411,"01/01/19 00:00:00","11/23/19 16:25:00"
803738,"01/01/19 00:00:00","01/01/30 00:00:00"
803740,"01/01/19 00:00:00","11/23/19 16:25:00"
808967,"01/01/19 00:00:00","01/01/30 00:00:00"
808969,"01/01/19 00:00:00","11/23/19 16:25:00"
812260,"01/01/19 00:00:00","01/01/30 00:00:00"
812262,"01/01/19 00:00:00","11/23/19 16:25:00"
813589,"01/01/19 00:00:00","01/01/30 00:00:00"
813591,"01/01/19 00:00:00","11/23/19 16:25:00"
818821,"01/01/19 00:00:00","01/01/30 00:00:00"
818823,"01/01/19 00:00:00","11/23/19 16:25:00"
822111,"01/01/19 00:00:00","01/01/30 00:00:00"
822113,"01/01/19 00:00:00","11/23/19 16:25:00"
825363,"01/01/19 00:00:00","01/01/30 00:00:00"
825365,"01/01/19 00:00:00","11/23/19 16:25:00"
828658,"01/01/19 00:00:00","01/01/30 00:00:00"
828660,"01/01/19 00:00:00","11/23/19 16:25:00"
831994,"01/01/19 00:00:00","01/01/30 00:00:00"
831996,"01/01/19 00:00:00","11/23/19 16:25:00"
833325,"01/01/19 00:00:00","01/01/30 00:00:00"
833327,"01/01/19 00:00:00","11/23/19 16:25:00"
838590,"01/01/19 00:00:00","01/01/30 00:00:00"
838592,"01/01/19 00:00:00","11/23/19 16:25:00"
839946,"01/01/19 00:00:00","01/01/30 00:00:00"
839948,"01/01/19 00:00:00","11/23/19 16:25:00"
843239,"01/01/19 00:00:00","01/01/30 00:00:00"
843241,"01/01/19 00:00:00","11/23/19 16:25:00"
845114,"01/01/19 00:00:00","01/01/30 00:00:00"
845116,"01/01/19 00:00:00","11/23/19 16:25:00"
850380,"01/01/19 00:00:00","01/01/30 00:00:00"
850382,"01/01/19 00:00:00","11/23/19 16:25:00"
855038,"01/01/19 00:00:00","01/01/30 00:00:00"
855040,"01/01/19 00:00:00","11/23/19 16:25:00"
860958,"01/01/19 00:00:00","01/01/30 00:00:00"
860960,"01/01/19 00:00:00","11/23/19 16:25:00"
862300,"01/01/19 00:00:00","01/01/30 00:00:00"
862302,"01/01/19 00:00:00","11/23/19 16:25:00"
867602,"01/01/19 00:00:00","01/01/30 00:00:00"
867604,"01/01/19 00:00:00","11/23/19 16:25:00"
870917,"01/01/19 00:00:00","01/01/30 00:00:00"
870919,"01/01/19 00:00:00","11/23/19 16:25:00"
878336,"01/01/19 00:00:00","01/01/30 00:00:00"
878338,"01/01/19 00:00:00","11/23/19 16:25:00"
881651,"01/01/19 00:00:00","01/01/30 00:00:00"
881653,"01/01/19 00:00:00","11/23/19 16:25:00"
882930,"01/01/19 00:00:00","01/01/30 00:00:00"
882932,"01/01/19 00:00:00","11/23/19 16:25:00"
886246,"01/01/19 00:00:00","01/01/30 00:00:00"
886248,"01/01/19 00:00:00","11/23/19 16:25:00"
889570,"01/01/19 00:00:00","01/01/30 00:00:00"
889572,"01/01/19 00:00:00","11/23/19 16:25:00"
892907,"01/01/19 00:00:00","01/01/30 00:00:00"
892909,"01/01/19 00:00:00","11/23/19 16:25:00"
896227,"01/01/19 00:00:00","01/01/30 00:00:00"
896229,"01/01/19 00:00:00","11/23/19 16:25:00"
899558,"01/01/19 00:00:00","01/01/30 00:00:00"
899560,"01/01/19 00:00:00","11/23/19 16:25:00"
902885,"01/01/19 00:00:00","01/01/30 00:00:00"
902887,"01/01/19 00:00:00","11/23/19 16:25:00"
904229,"01/01/19 00:00:00","01/01/30 00:00:00"
904231,"01/01/19 00:00:00","11/23/19 16:25:00"
909544,"01/01/19 00:00:00","01/01/30 00:00:00"
909546,"01/01/19 00:00:00","11/23/19 16:25:00"
910883,"01/01/19 00:00:00","01/01/30 00:00:00"
910885,"01/01/19 00:00:00","11/23/19 16:25:00"
916207,"01/01/19 00:00:00","01/01/30 00:00:00"
916209,"01/01/19 00:00:00","11/23/19 16:25:00"
919542,"01/01/19 00:00:00","01/01/30 00:00:00"
919544,"01/01/19 00:00:00","11/23/19 16:25:00"
920907,"01/01/19 00:00:00","01/01/30 00:00:00"
920909,"01/01/19 00:00:00","11/23/19 16:25:00"
925126,"01/01/19 00:00:00","01/01/30 00:00:00"
925128,"01/01/19 00:00:00","11/23/19 16:25:00"
931278,"01/01/19 00:00:00","01/01/30 00:00:00"
931280,"01/01/19 00:00:00","11/23/19 16:25:00"
934642,"01/01/19 00:00:00","01/01/30 00:00:00"
934644,"01/01/19 00:00:00","11/23/19 16:25:00"
937981,"01/01/19 00:00:00","01/01/30 00:00:00"
937983,"01/01/19 00:00:00","11/23/19 16:25:00"
939326,"01/01/19 00:00:00","01/01/30 00:00:00"
939328,"01/01/19 00:00:00","11/23/19 16:25:00"
944646,"01/01/19 00:00:00","01/01/30 00:00:00"
944648,"01/01/19 00:00:00","11/23/19 16:25:00"
947977,"01/01/19 00:00:00","01/01/30 00:00:00"
947979,"01/01/19 00:00:00","11/23/19 16:25:00"
951326,"01/01/19 00:00:00","01/01/30 00:00:00"
951328,"01/01/19 00:00:00","11/23/19 16:25:00"
954642,"01/01/19 00:00:00","01/01/30 00:00:00"
954644,"01/01/19 00:00:00","11/23/19 16:25:00"
957986,"01/01/19 00:00:00","01/01/30 00:00:00"
957988,"01/01/19 00:00:00","11/23/19 16:25:00"
961690,"01/01/19 00:00:00","01/01/30 00:00:00"
961692,"01/01/19 00:00:00","11/23/19 16:25:00"
965033,"01/01/19 00:00:00","01/01/30 00:00:00"
965035,"01/01/19 00:00:00","11/23/19 16:25:00"
968374,"01/01/19 00:00:00","01/01/30 00:00:00"
968376,"01/01/19 00:00:00","11/23/19 16:25:00"
972572,"01/01/19 00:00:00","01/01/30 00:00:00"
972574,"01/01/19 00:00:00","11/23/19 16:25:00"
975912,"01/01/19 00:00:00","01/01/30 00:00:00"
975914,"01/01/19 00:00:00","11/23/19 16:25:00"
977260,"01/01/19 00:00:00","01/01/30 00:00:00"
977262,"01/01/19 00:00:00","11/23/19 16:25:00"
980603,"01/01/19 00:00:00","01/01/30 00:00:00"
980605,"01/01/19 00:00:00","11/23/19 16:25:00"
985979,"01/01/19 00:00:00","01/01/30 00:00:00"
985981,"01/01/19 00:00:00","11/23/19 16:25:00"
989335,"01/01/19 00:00:00","01/01/30 00:00:00"
989337,"01/01/19 00:00:00","11/23/19 16:25:00"
994699,"01/01/19 00:00:00","01/01/30 00:00:00"
994701,"01/01/19 00:00:00","11/23/19 16:25:00"
995601,"12/09/03 23:00:00","01/15/04 01:00:00"
995601,"01/16/04 23:00:00","01/18/04 01:00:00"
995601,"01/20/04 23:00:00","01/22/04 01:00:00"
998728,"01/01/19 00:00:00","01/01/30 00:00:00"
998730,"01/01/19 00:00:00","11/23/19 16:25:00"
1003962,"01/01/19 00:00:00","01/01/30 00:00:00"
1003964,"01/01/19 00:00:00","11/23/19 16:25:00"
1005352,"01/01/19 00:00:00","01/01/30 00:00:00"
1005354,"01/01/19 00:00:00","11/23/19 16:25:00"
1009093,"01/01/19 00:00:00","01/01/30 00:00:00"
1009095,"01/01/19 00:00:00","11/23/19 16:25:00"
1015144,"01/01/19 00:00:00","01/01/30 00:00:00"
1015146,"01/01/19 00:00:00","11/23/19 16:25:00"
1018593,"01/01/19 00:00:00","01/01/30 00:00:00"
1018595,"01/01/19 00:00:00","11/23/19 16:25:00"
1019985,"01/01/19 00:00:00","01/01/30 00:00:00"
1019987,"01/01/19 00:00:00","11/23/19 16:25:00"
1027546,"01/01/19 00:00:00","01/01/30 00:00:00"
1027548,"01/01/19 00:00:00","11/23/19 16:25:00"
1030973,"01/01/19 00:00:00","01/01/30 00:00:00"
1030975,"01/01/19 00:00:00","11/23/19 16:25:00"
1034415,"01/01/19 00:00:00","01/01/30 00:00:00"
1034417,"01/01/19 00:00:00","11/23/19 16:25:00"
1037870,"01/01/19 00:00:00","01/01/30 00:00:00"
1037872,"01/01/19 00:00:00","11/23/19 16:25:00"
1039260,"01/01/19 00:00:00","01/01/30 00:00:00"
1039262,"01/01/19 00:00:00","11/23/19 16:25:00"
1042748,"01/01/19 00:00:00","01/01/30 00:00:00"
1042750,"01/01/19 00:00:00","11/23/19 16:25:00"
1046208,"01/01/19 00:00:00","01/01/30 00:00:00"
1046210,"01/01/19 00:00:00","11/23/19 16:25:00"
1047606,"01/01/19 00:00:00","01/01/30 00:00:00"
1047608,"01/01/19 00:00:00","11/23/19 16:25:00"
1053153,"01/01/19 00:00:00","01/01/30 00:00:00"
1053155,"01/01/19 00:00:00","11/23/19 16:25:00"
1056618,"01/01/19 00:00:00","01/01/30 00:00:00"
1056620,"01/01/19 00:00:00","11/23/19 16:25:00"
1066246,"01/01/19 00:00:00","01/01/30 00:00:00"
1066248,"01/01/19 00:00:00","11/23/19 16:25:00"
1067683,"01/01/19 00:00:00","01/01/30 00:00:00"
1067685,"01/01/19 00:00:00","11/23/19 16:25:00"
1073250,"01/01/19 00:00:00","01/01/30 00:00:00"
1073252,"01/01/19 00:00:00","11/23/19 16:25:00"
1074704,"01/01/19 00:00:00","01/01/30 00:00:00"
1074706,"01/01/19 00:00:00","11/23/19 16:25:00"
1080108,"01/01/19 00:00:00","01/01/30 00:00:00"
1080110,"01/01/19 00:00:00","11/23/19 16:25:00"
1083534,"01/01/19 00:00:00","01/01/30 00:00:00"
1083536,"01/01/19 00:00:00","11/23/19 16:25:00"
1084965,"01/01/19 00:00:00","01/01/30 00:00:00"
1084967,"01/01/19 00:00:00","11/23/19 16:25:00"
1088434,"01/01/19 00:00:00","01/01/30 00:00:00"
1088436,"01/01/19 00:00:00","11/23/19 16:25:00"
1093924,"01/01/19 00:00:00","01/01/30 00:00:00"
1093926,"01/01/19 00:00:00","11/23/19 16:25:00"
1097367,"01/01/19 00:00:00","01/01/30 00:00:00"
1097369,"01/01/19 00:00:00","11/23/19 16:25:00"
1098807,"01/01/19 00:00:00","01/01/30 00:00:00"
1098809,"01/01/19 00:00:00","11/23/19 16:25:00"
1104255,"01/01/19 00:00:00","01/01/30 00:00:00"
1104257,"01/01/19 00:00:00","11/23/19 16:25:00"
1107711,"01/01/19 00:00:00","01/01/30 00:00:00"
1107713,"01/01/19 00:00:00","11/23/19 16:25:00"
1111147,"01/01/19 00:00:00","01/01/30 00:00:00"
1111149,"01/01/19 00:00:00","11/23/19 16:25:00"
1115044,"01/01/19 00:00:00","01/01/30 00:00:00"
1115046,"01/01/19 00:00:00","11/23/19 16:25:00"
1118436,"01/01/19 00:00:00","01/01/30 00:00:00"
1118438,"01/01/19 00:00:00","11/23/19 16:25:00"
1119839,"01/01/19 00:00:00","01/01/30 00:00:00"
1119841,"01/01/19 00:00:00","11/23/19 16:25:00"
1123218,"01/01/19 00:00:00","01/01/30 00:00:00"
1123220,"01/01/19 00:00:00","11/23/19 16:25:00"
1124603,"01/01/19 00:00:00","01/01/30 00:00:00"
1124605,"01/01/19 00:00:00","11/23/19 16:25:00"
1127969,"01/01/19 00:00:00","01/01/30 00:00:00"
1127971,"01/01/19 00:00:00","11/23/19 16:25:00"
1133316,"01/01/19 00:00:00","01/01/30 00:00:00"
1133318,"01/01/19 00:00:00","11/23/19 16:25:00"
1136726,"01/01/19 00:00:00","01/01/30 00:00:00"
1136728,"01/01/19 00:00:00","11/23/19 16:25:00"
1140141,"01/01/19 00:00:00","01/01/30 00:00:00"
1140143,"01/01/19 00:00:00","11/23/19 16:25:00"
1143591,"01/01/19 00:00:00","01/01/30 00:00:00"
1143593,"01/01/19 00:00:00","11/23/19 16:25:00"
