numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
229334,319,"10/15/02 00:00:00","11/12/02 00:00:00","4","43","Déclaration dans hydro de tous les QJ manquants inconnu faible <3 m3/s ; QIX d'octobre <4 m3/s, QIX de novembre le 25/11 00:39 #8.06 m3/s et QMM >0.120 m3/s pour les 2 mois.",,,
229335,319,"02/12/03 00:10:00","03/13/03 08:30:00","1","17","Fichier Hauteur-temps pésent, mais douteux.",,"03/04/04 13:58:00",
229336,319,"02/12/03 00:10:00","03/13/03 08:30:00","4","42","Référence stations Chevelières et Les Cotes.",,,
229337,319,"07/30/03 00:00:00",,"5","50","Début de la télétransmition.",,"03/09/04 11:09:00","03/09/04 11:09:00"
229338,321,"02/19/97 14:00:00",,"3","30","Début centrale CR2M et sonde ultra-sons.",,,
229339,321,"05/05/90 10:00:00","05/19/90 08:45:00","1","14",,,,
229340,321,"05/05/90 10:00:00","05/09/90 08:45:00","4","42","Références Rivières de Roanne.",,,
229341,321,"10/20/71 12:00:00",,"5","50","Mise en service de la station.",,,
229342,321,"06/04/73 16:40:00","07/02/73 01:58:00","4","42","Références Rivières de Roanne. Hauteurs déclarées estimées dans hydro.",,,
229343,321,"06/04/73 16:40:00","07/02/73 01:58:00","1","17","??",,,
229344,321,"10/25/86 09:10:00","11/07/86 09:00:00","1","11","Problème de stylet.

",,,
229345,321,"10/25/86 09:10:00","11/07/86 09:00:00","4","42","Références Rivières de Roanne.",,,
229346,321,"11/22/01 15:00:00",,"3","30","Installation d'un codeur-enregistreur OTT Thalimèdes avec flotteur, et Modem Eurocom (en prévision de la télétransmission).",,,
229347,321,"12/14/01 12:00:00",,"5","50","Début de la télétransmition.",,,
229348,321,"02/15/07 00:00:00",,"5","50","Chute d'un arbre sur la ligne téléphonique",,"02/15/07 16:35:00","02/15/07 16:35:00"
229349,321,"10/01/07 00:00:00",,"5","50","A partir de octobre 2007 gestion de la statio par la DIREN CENTRE
station jusque là gérée par la DIREN RHONE ALPES",,"01/09/09 15:59:00","01/09/09 15:59:00"
229350,321,"10/01/07 00:00:00",,"2","26","nouvelle courbe de tarage suite changement de gestionnaire",,"01/09/09 16:00:00","01/09/09 16:00:00"
229351,321,"11/02/08 00:00:00",,"5","50","pas de trace de la crue du 02/11/2008 (pas de trace sur le terrain non plus)",,"01/09/09 16:02:00","01/09/09 16:02:00"
229352,321,"06/23/09 00:00:00",,"3","30","Cristalisation de la station : mise en place d'une CPL et conservation du thalimède comme capteur (B Richard JL Declines)",,"06/26/09 14:50:00","06/26/09 14:50:00"
229353,321,"05/11/11 00:00:00",,"5","50","mise en place d'un clou repere au dessus de l'échelle en rive gauche h = +3.15 m",,"05/13/11 15:50:00","05/13/11 15:50:00"
229354,321,"02/01/12 00:00:00","02/29/12 00:00:00","1","17","février 2012 période de (fort) gel : absence de hauteurs du 3/2 23:50 au 20/02/2012 12:15",,"03/09/12 09:33:00","03/09/12 09:33:00"
229355,303,"02/01/12 21:00:00","02/18/12 17:00:00","4","42","Reconstitution des hauteurs suite au gel du mois de février 2012",,"09/07/12 14:07:00","03/09/12 14:09:00"
229356,303,"06/13/12 00:00:00",,"3","31","Mise en place d'un radar en remplacement du LPN. Une échelle de crue a été rajoutée et l'échelle existante a été remplacée.",,"01/07/13 09:21:00","06/18/12 09:24:00"
