noct,nopt,a,b,h0,hsup
7599,2,6.255e-05,1.3263,119,275
7599,3,1.346e-13,4.9825,64,332
7599,4,0.004065,1.1148,304,423
7599,5,0.002149,1.2208,290,526
7599,6,0.00498,1.0801,306,634
7600,1,0,0,0,509
7600,2,9.422000000000001e-06,1.959,508,1201
7601,1,0,0,0,509
7601,2,3.731e-05,1.6069,509,594
7601,3,6.066e-06,2.0496,515,751
7601,4,9.915000000000001e-06,1.9525,510,1201
7602,1,0,0,0,0
7602,2,3.508e-07,2.7676,-39,140
7602,3,0.0004116,1.5722,37,199
7603,1,0,0,0,0
7603,2,0.001266,1.0801,-1,19
7603,3,8.647000000000001e-08,2.9924,-54,140
7603,4,0.0004116,1.5722,37,199
7604,1,0,0,0,139
7604,2,8.488e-07,2.0292,138,624
7604,3,1.908e-06,1.9348,191,752
7604,4,3.913e-05,1.502,288,985
7605,1,0,0,0,104
7605,2,2.835e-07,2.2403,103,242
7605,3,1.878e-06,1.8156,86,397
7605,4,3.175e-16,5,-327,515
7605,5,8.627000000000001e-06,1.7328,252,803
7605,6,0.0003381,1.2225,422,965
7606,1,0,0,0,1000
7606,2,9.853999999999999e-08,2.6622,836,1311
7606,3,2.496e-15,5,432,1397
7606,4,8.768e-05,1.7128,1039,1497
7607,1,0,0,0,1000
7607,2,0.0003625,1.2911,936,1116
7607,3,0.04081,0.5175999999999999,1070,1134
7607,4,9.575e-15,5,617,1162
7607,5,9.840000000000001e-15,5,620,1242
7607,6,0.02845,0.7769,1155,1305
7607,7,0.0007406,1.3614,1051,1396
7607,8,0.008085999999999999,1.0219,1164,1498
7608,1,0,0,0,19
7608,2,2.166e-07,2.5918,18,489
7610,1,0,0,0,400
7610,2,0.0003417,1.4153,389,892
7610,3,0.0003512,1.3966,355,1101
9989,1,0,0,0,459
9989,2,0.0097,1.1384,459,3000
9990,1,0,0,0,24
9990,2,4.552e-07,2.4907,24,181
9990,3,6.321e-14,4.9825,-117,253
9990,4,4.619e-05,1.7909,96,422
9990,5,3.881e-05,1.8596,133,1001
9991,1,0,0,0,14
9991,2,4.842e-07,2.4864,13,801
9992,1,0,0,0,250
9992,2,9.67e-08,2.7325,-70,998
9993,1,0,0,0,0
9993,2,1.275e-06,2.3737,-11,1500
9994,1,0,0,0,91
9994,2,2.405e-06,1.9602,11,183
9994,3,4.663e-15,5,-233,215
9994,4,1.636e-05,1.8536,115,233
9994,5,0.001027,1.256,191,451
9995,1,0,0,0,89
9995,2,4.583e-07,2.5193,89,600
9999,1,0,0,0,1
9999,2,0.001722,1.2582,-57,183
9999,3,2.464e-15,4.9825,-768,278
9999,4,0.001124,1.3851,0,800
10000,1,0,0,0,0
10000,2,1.806e-06,2.2777,-231,1200
10001,1,0,0,0,230
10001,2,2.893e-14,4.9825,-30,274
10001,3,1.407e-06,2.337,173,333
10001,4,9.937000000000001e-05,1.6075,220,686
10002,1,0,0,0,189
10002,2,2.378e-05,1.7833,188,299
10002,3,7.214e-06,2.0326,187,411
10002,4,3.218e-05,1.7833,205,800
10003,1,0,0,0,1219
10003,2,0.001067,1.3263,1218,1428
10003,3,9.424000000000001e-05,1.7125,1169,1701
10003,4,0.004415,1.1888,1368,1912
10003,5,0.00204,1.2911,1311,2803
10004,1,0,0,0,1159
10004,2,0.0001184,1.6771,1159,3000
10005,1,0,0,0,1
10005,2,3.139e-08,2.627,-206,22
10005,3,1.662e-14,5,-290,55
10005,4,1.676e-13,4.8666,-197,136
10005,5,0.0004508,1.401,29,296
10005,6,0.001889,1.1857,76,501
10006,1,0,0,0,-2
10006,2,0.0008517,1.2208,-19,125
10006,3,2.23e-08,2.8342,-227,363
10006,4,0.0005211,1.391,42,616
10006,5,0.0002943,1.4669,8,801
10007,1,0,0,0,1
10007,2,1.21e-06,2.42,-47,9
10007,3,3.483e-06,2.2699,-37,1200
10008,1,0,0,0,0
10008,2,1.105e-06,2.5216,-148,2000
10009,1,0,0,0,89
10009,2,2.615e-07,2.5465,89,800
10010,1,0,0,0,79
10010,2,5.488e-07,2.3067,79,433
10010,3,1.532e-10,3.558,-15,587
10010,4,6.989e-08,2.672,79,1203
10011,1,0,0,0,79
10011,2,3.289e-08,2.6863,79,584
10011,3,4.577e-15,5,-82,795
10011,4,0.003904,1.2208,605,1053
10012,1,0,0,0,494
10012,2,2.985e-16,4.9825,-249,658
10012,3,3.12e-09,2.9435,240,799
10012,4,0.00037,1.2577,550,1222
10013,1,0,0,0,500
