noct,ladate
7890,"02/02/21 13:45:00"
7979,"02/02/21 09:38:00"
10292,"01/03/03 17:20:00"
10292,"01/13/04 14:25:00"
10293,"01/13/04 14:25:00"
10293,"01/03/03 17:20:00"
10293,"02/03/94 00:00:00"
10294,"09/30/99 15:10:00"
10294,"11/02/99 17:00:00"
10294,"01/05/98 00:00:00"
10294,"03/09/95 00:00:00"
10295,"09/30/99 15:10:00"
10295,"11/02/99 17:00:00"
10295,"01/05/98 00:00:00"
10295,"03/09/95 00:00:00"
10295,"01/13/04 14:25:00"
10295,"01/03/03 17:20:00"
8015,"06/05/02 13:25:00"
8015,"12/16/11 14:05:00"
8061,"02/10/21 11:15:00"
8061,"03/05/20 10:45:00"
8428,"12/17/11 09:04:00"
8428,"12/29/20 10:44:00"
8428,"02/09/21 10:20:00"
8350,"02/11/13 14:10:00"
8350,"02/25/14 09:45:00"
8350,"02/14/12 10:00:00"
8350,"02/04/13 13:30:00"
8350,"01/17/14 10:00:00"
8350,"02/10/21 13:45:00"
8350,"01/31/13 10:00:00"
8515,"01/07/94 00:00:00"
8515,"01/24/95 00:00:00"
8515,"01/20/98 00:00:00"
8515,"02/02/21 13:45:00"
8584,"12/29/21 10:45:00"
8584,"02/08/21 13:08:00"
10830,"11/06/13 14:30:00"
10863,"11/06/13 14:30:00"
10863,"12/31/20 09:40:00"
8539,"02/05/21 11:40:00"
8539,"11/29/19 12:21:00"
8838,"02/09/21 11:13:00"
8838,"01/15/20 11:58:00"
8838,"03/04/20 11:25:00"
8637,"11/18/19 13:07:00"
8637,"01/28/14 11:15:00"
8639,"10/28/20 11:09:00"
8805,"02/03/21 15:35:00"
8805,"12/29/21 11:50:00"
8805,"02/08/21 12:30:00"
9189,"01/17/14 11:30:00"
9189,"02/05/21 11:37:00"
9192,"03/06/20 18:00:00"
8818,"02/05/21 11:40:00"
8818,"11/29/19 12:21:00"
8846,"02/05/21 10:20:00"
8976,"05/28/08 13:45:00"
8977,"06/22/24 12:34:00"
8982,"10/04/60 00:00:00"
8998,"02/11/19 12:00:00"
8998,"01/21/03 11:30:00"
8998,"01/29/14 11:30:00"
8998,"01/22/21 13:20:00"
8998,"02/11/13 11:50:00"
8998,"02/13/14 11:15:00"
9028,"02/14/14 10:00:00"
9028,"03/06/20 11:00:00"
9028,"01/23/21 08:50:00"
9028,"02/11/19 13:00:00"
9056,"10/11/22 11:40:00"
9100,"03/31/24 08:31:00"
9046,"02/14/14 10:00:00"
9046,"03/06/20 11:00:00"
9046,"01/23/21 08:50:00"
9046,"02/11/19 13:00:00"
9047,"01/23/21 08:50:00"
9047,"02/11/19 13:00:00"
9047,"02/14/14 10:00:00"
9047,"03/06/20 11:00:00"
9730,"12/15/19 10:00:00"
9730,"02/03/21 12:40:00"
10282,"01/06/94 14:10:00"
10282,"01/23/95 11:00:00"
9163,"12/11/23 11:58:00"
9192,"02/12/13 14:25:00"
9261,"11/18/19 11:30:00"
9404,"12/16/11 11:26:00"
9404,"01/08/18 12:56:00"
9416,"05/04/15 13:20:00"
9416,"02/16/22 13:00:00"
9417,"05/04/15 13:20:00"
9417,"02/16/22 13:00:00"
9456,"12/28/12 10:40:00"
9456,"02/03/88 13:30:00"
9456,"01/27/88 09:00:00"
9456,"12/17/11 11:33:00"
9456,"01/06/94 11:00:00"
9491,"01/29/25 10:48:00"
9492,"01/29/25 10:48:00"
9492,"10/30/23 12:23:00"
9413,"02/04/21 13:50:00"
9413,"05/31/16 10:10:00"
9546,"03/03/21 13:36:00"
9546,"01/07/20 10:45:00"
9546,"02/11/20 11:37:00"
9546,"02/05/21 13:40:00"
9546,"09/29/09 13:25:00"
9546,"02/09/16 12:20:00"
9546,"01/14/16 10:20:00"
9546,"02/08/13 10:35:00"
9546,"11/29/19 14:16:00"
9546,"09/25/20 12:13:00"
9592,"05/02/01 14:30:00"
9189,"03/05/20 10:40:00"
9211,"11/20/19 12:00:00"
9211,"03/04/20 10:45:00"
9520,"01/30/15 11:25:00"
9520,"02/11/21 09:44:00"
9523,"10/18/24 09:22:00"
9523,"07/10/24 11:30:00"
9624,"01/06/94 14:10:00"
9624,"01/23/95 11:00:00"
9625,"06/01/16 10:50:00"
9625,"05/29/08 10:00:00"
9625,"02/11/14 10:19:00"
9298,"12/17/11 09:04:00"
9298,"12/29/20 10:44:00"
9298,"02/09/21 10:20:00"
9299,"05/02/01 14:30:00"
9301,"02/11/21 12:45:00"
9304,"02/02/21 10:15:00"
9304,"02/04/21 11:00:00"
9307,"02/25/16 14:00:00"
9307,"03/03/20 10:10:00"
9307,"05/04/15 14:30:00"
9307,"03/10/20 14:45:00"
9328,"01/30/15 10:30:00"
9328,"03/05/20 14:15:00"
