noct,nopt,h,q
309,36,5700,1690
309,37,5800,1760
309,38,5900,1830
309,39,6000,1910
309,40,6100,1990
309,41,6200,2070
309,42,6300,2150
309,43,6400,2230
309,44,6500,2320
309,45,6600,2400
309,46,6700,2490
309,47,6800,2580
309,48,6900,2680
309,49,7000,2780
309,50,7100,2880
309,51,7200,2980
309,52,7300,3080
309,53,7400,3190
309,54,7500,3300
309,55,7600,3410
309,56,7700,3530
309,57,7800,3650
309,58,7900,3770
309,59,8000,3890
309,60,8100,4020
309,61,8200,4150
309,62,8300,4280
309,63,8400,4420
309,64,8500,4550
309,65,8600,4690
309,66,8700,4830
309,67,8800,4960
309,68,8900,5100
309,69,9000,5240
311,1,290,0.155
311,2,300,0.15899999
311,3,320,0.17900001
311,4,340,0.2
311,5,360,0.228
311,6,380,0.25999999
311,7,400,0.28999999
372,1,104,0.115
372,2,142,0.141
372,3,181,0.17399999
372,4,258,0.257
372,5,269,0.27399999
372,6,304,0.52399999
372,7,317,0.62800002
372,8,378,1.08
372,9,540,2.0899999
372,10,1193,8.6000004
379,1,2200,114
379,2,2300,157
379,3,2400,201
379,4,2500,244
379,5,2600,287
379,6,2700,330
379,7,2800,372
379,8,2900,414
379,9,3000,456
379,10,3100,497
379,11,3200,538
379,12,3300,578
379,13,3400,617
379,14,3500,656
379,15,3600,695
379,16,3700,734
379,17,3800,773
379,18,3900,813
379,19,4000,853
379,20,4100,894
379,21,4200,935
379,22,4300,978
379,23,4400,1020
379,24,4500,1070
379,25,4600,1110
379,26,4700,1160
379,27,4800,1210
379,28,4900,1260
379,29,5000,1320
379,30,5100,1370
379,31,5200,1420
379,32,5300,1480
379,33,5400,1540
379,34,5500,1600
379,35,5600,1660
379,36,5700,1720
379,37,5800,1790
379,38,5900,1850
379,39,6000,1930
379,40,6100,2010
379,41,6200,2090
379,42,6300,2180
379,43,6400,2270
379,44,6500,2370
379,45,6600,2480
379,46,6700,2590
379,47,6800,2710
379,48,6900,2830
379,49,7000,2940
379,50,7100,3060
379,51,7200,3180
379,52,7300,3290
379,53,7400,3410
379,54,7500,3520
379,55,7600,3630
379,56,7700,3750
379,57,7800,3860
379,58,7900,3970
379,59,8000,4090
379,60,8100,4200
379,61,8200,4320
316,1,276,0.33000001
316,2,400,0.39300001
316,3,498,0.60000002
316,4,550,0.82999998
316,5,619,1.25
316,6,700,1.9
316,7,835,3.48
316,8,968,5.0500002
316,9,1071,6.9099998
316,10,1307,11.5
316,11,1543,17.200001
316,12,1779,24
316,13,2251,41
316,14,2723,62.400002
316,15,3195,88.199997
316,16,3667,118
316,17,4611,192
331,1,980,2.03
331,2,1055,3.28
331,3,1130,4.9099998
340,1,940,0.030999999
340,2,946,0.035999998
340,3,950,0.037
340,4,975,0.071999997
340,5,987,0.092
340,6,999,0.115
340,7,1023,0.168
340,8,1047,0.23
340,9,1096,0.38600001
340,10,1144,0.57499999
340,11,1193,0.80500001
340,12,1241,1.0700001
340,13,1341,1.98
340,14,1430,2.8900001
340,15,1527,3.8900001
340,16,1600,4.5900002
340,17,1723,5.8299999
340,18,1922,8.3100004
340,19,2145,11.6
340,20,2378,15.4
340,21,2590,19.5
340,22,3449,47
340,23,3666,68.599998
342,1,150,0.11
342,2,300,0.215
342,3,455,0.89200002
342,4,600,1.58
