noct,nosta,cdatedeb,cdatefin,cmin,cmax,cnum,cnbpt,ccomment,ctype,cdatemaj,cdateenregistrement,cdatecreation,cminp,cmaxp,cnum3,ctest,ccommentpriv
1198,12,"01/01/80 00:00:00","01/01/81 00:00:00",50,4000,"C17343",16,,"C",,"01/31/22 11:26:00",,,,"C17343",0,
1199,12,"01/01/79 00:00:00","01/01/80 00:00:00",50,3600,"C17342",15,,"C",,"01/31/22 11:27:00",,,,"C17342",0,
1200,12,"01/01/78 00:00:00","01/01/79 00:00:00",0,4000,"C17341",17,,"C",,"01/31/22 11:30:00",,,,"C17341",0,
1201,12,"01/01/77 00:00:00","01/01/78 00:00:00",50,3200,"C17340",14,,"C",,"01/31/22 11:34:00",,,,"C17340",0,
1294,6,"10/14/13 08:20:00","01/30/21 23:00:00",1050,3800,"5",19,"Modifiée en sept 2015 par MD/TH 
Extrapolation pour H>400 basée sur cohérence débit avec Diedendorf et Sarralbe.
","C","09/25/15 14:55:00","05/23/23 11:34:00","05/22/14 09:00:00",,,"5",0,
1121,11,"01/01/08 00:00:00","12/31/20 00:00:00",150,2350,"EICH2010",2,"Courbe en construction. La visualisation actuelle n'est qu'un prémisse de courbe. Il nous manque des éléments majeur pour continuer et fiabiliser la construction de cette courbe, comme le profil en travers.","T","02/25/10 11:15:00","08/23/10 16:34:00","02/25/10 11:15:00",,,,,
1123,169,"01/01/00 00:00:00","01/02/00 00:00:00",1050,3500,"Irstea",96,"DREAL Alsace","C","01/28/14 16:28:00","01/28/14 16:46:00","10/16/12 00:00:00",,,,,
1129,312,"01/01/83 00:00:00","01/01/84 00:00:00",450,810,"C17368",17,,"C",,,,,,,,
1130,312,"01/01/84 00:00:00","01/01/86 00:00:00",500,700,"C17369",9,,"C",,,,,,,,
1131,312,"01/01/86 00:00:00","09/26/87 00:00:00",580,700,"C17370",11,,"C",,,,,,,,
1132,312,"09/26/87 00:00:00","01/01/89 00:00:00",860,920,"C17371",9,,"C",,,,,,,,
1133,312,"01/01/89 00:00:00","01/01/90 00:00:00",900,1100,"C17372",11,,"C",,,,,,,,
1134,312,"01/01/90 00:00:00","01/01/93 00:00:00",830,1100,"C17373",11,,"C",,,,,,,,
1135,312,"01/01/93 00:00:00","01/01/94 00:00:00",830,1100,"C17374",10,,"C",,,,,,,,
1136,312,"01/01/94 00:00:00","01/01/95 00:00:00",830,1100,"C17375",10,,"C",,,,,,,,
1137,312,"01/01/95 00:00:00","01/01/96 00:00:00",900,1100,"C17376",9,,"C",,,,,,,,
1138,312,"01/01/96 00:00:00","01/01/97 00:00:00",900,1200,"C17377",10,,"C",,,,,,,,
1139,312,"01/01/97 00:00:00","01/01/98 00:00:00",940,1200,"16",13,,"C",,,,,,,,
1140,312,"01/01/98 00:00:00","01/01/01 00:00:00",870,1300,"17",13,,"C",,,,,,,,
1141,312,"01/01/01 00:00:00","01/01/05 00:00:00",760,1300,"18a",15,,"C",,,,,,,,
1142,312,"01/01/05 00:00:00","04/11/12 00:00:00",740,1300,"d19",17,"courbe provisoire
","C",,"04/08/19 13:25:00",,,,,0,
1202,12,"01/01/72 00:00:00","01/01/73 00:00:00",0,2900,"C17339",18,,"C",,"01/31/22 11:35:00",,,,"C17339",0,
1203,12,"01/01/70 00:00:00","01/01/71 00:00:00",0,4500,"C17338",24,,"C",,"01/31/22 11:37:00",,,,"C17338",0,
