numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
36,10,"12/05/10 00:00:00","12/09/10 00:00:00","1","12","pas de reconstitution puisqu'il s'agit de la perte d'une pointe de crue (dans hydro QMJ inconnus jours et QMM inconnus forts)",,"10/13/11 09:56:00","10/13/11 09:56:00"
37,10,"02/03/12 00:00:00","02/23/12 00:00:00","1","17","reconstitution des débits suite au gel du cours d'eau",,"02/26/13 14:00:00","02/06/13 13:51:00"
38,10,"12/07/12 05:00:00","12/08/12 22:30:00","4","42","reconstition a partir de Pontarion",,"02/06/13 13:52:00","02/06/13 13:52:00"
39,11,"02/02/12 00:00:00","02/14/12 00:00:00","1","17","gel du cours d'eau",,"01/22/13 16:12:00","01/22/13 16:12:00"
40,12,"01/01/60 00:00:00",,"5","50","creation station",,"01/17/13 10:56:00","01/17/13 10:56:00"
41,12,"01/01/60 00:00:00",,"3","30","mise en place limnigraphe",,"01/17/13 10:56:00","01/17/13 10:56:00"
42,12,"06/28/88 00:00:00",,"5","50","reparation échelle et changement planche",,"01/17/13 11:35:00","01/17/13 11:35:00"
43,12,"10/27/88 00:00:00",,"5","50","marquage pont",,"01/17/13 11:35:00","01/17/13 11:35:00"
44,12,"01/13/95 00:00:00",,"3","30","mise en place d'un newlog",,"01/17/13 11:35:00","01/17/13 11:35:00"
45,12,"02/14/95 00:00:00",,"3","32","pose d'une gaine pour le téléphone",,"01/17/13 11:36:00","01/17/13 11:36:00"
46,12,"02/21/95 00:00:00",,"3","32","pose de la ligne téléphonique",,"01/17/13 11:36:00","01/17/13 11:36:00"
47,12,"02/02/12 00:00:00","02/15/12 00:00:00","1","17","gel du cours d'eau",,"04/24/13 13:48:00","04/24/13 13:48:00"
48,12,"08/20/12 00:00:00",,"2","26","changement de CT suite à la création d'un seuil pour permettre la baignade
suppression des donnéesde débits instantannés pour limiter l'impact du changement de CT",,"05/03/13 10:57:00","05/03/13 10:57:00"
49,14,"05/21/90 00:00:00",,"5","50","déplacement de la station de Bellac hors du bourg (20/07/1965 au 21/05/1990)
pose de 4m d'échelle",,"01/17/13 13:19:00","08/08/12 13:00:00"
50,14,"04/20/94 00:00:00",,"5","50","mise en place d'une échelle auxilliaire de 2m à 30m en aval du pont",,"01/17/13 13:20:00","01/17/13 13:20:00"
51,14,"02/02/12 00:00:00","02/15/12 00:00:00","1","17","gel du cours d'eau",,"05/03/13 14:25:00","05/03/13 14:25:00"
52,15,"09/01/94 12:00:00",,"5","50","mise en service de la station",,"08/08/12 15:43:00","08/08/12 15:43:00"
53,25,"05/07/14 00:00:00",,"2","25","jaugeages effectués à la passerelle 100 m en aval de la station --> permet de prendre en compte l'apport d'un petit ruisseau estimé à 30 % du débit total.
rattachement du jaugeage à l'échelle de la station.
--> effectuer des jaugeages comparatifs (avant et après la confluence)  pour déterminer l'apport de ce ruisseau, et selon les résultats obtenus, mettre à jour les données antérieures en prenant en compte cet apport (Q jaugé +   % estimé ruisseau).",,"05/14/14 10:53:00","05/14/14 10:49:00"
54,30,"01/10/12 00:00:00",,"5","50","repris les jaugeages de crues n° 14, 15, 16, 17 et 28. Renseigné hauteur aveugle, harmonisé coef de fond à 0.9, de rive début à 0.8 et rive fin à 0.95, profondeur constante (seuil béton) vers la rive de fin (courant plus fort en rive  G), k=0.8, largeur au miroir de 2 fois 5 m.",,"01/24/12 15:12:00","01/10/12 14:33:00"
55,30,"02/17/12 00:00:00",,"2","26","critique puis remplacement de la courbe de tarage depuis  la création en mettant en douteux les jaugeages SATESE et ceux aux commentaires ""douteux"" (J5;6;7;8;13)",,"02/17/12 15:27:00","02/17/12 15:27:00"
56,30,"04/01/14 00:00:00",,"5","50","transfert station DREAL Pays de Loire à DREAL PC/ SPC VCA ",,"04/09/14 10:00:00","04/09/14 10:00:00"
57,31,"09/01/12 00:00:00",,"2","23","entretien des berges assuré (amont et aval) par agriculteur riverain en août 2012.",,"05/27/13 16:59:00","05/27/13 16:59:00"
58,31,"04/01/14 00:00:00",,"5","50","transfert station DREAL Pays de Loire à DREAL PC/ SPC VCA ",,"04/09/14 09:59:00","04/09/14 09:58:00"
59,32,"01/09/09 00:00:00",,"2","26","Réajustement des courbes de tarage.
Le calage des hautes eaux se fait sur l'estimation de la crue de 1960 à 350 m3/s (restitution aval barrage) pour une hauteur cotée sur un croquis du pont estimée à 4m à l'échelle.",,"01/09/09 14:25:00","01/09/09 14:25:00"
60,32,"04/01/14 00:00:00",,"5","50","transfert station DREAL Pays de Loire à DREAL PC/ SPC VCA ",,"04/09/14 10:01:00","04/09/14 10:01:00"
61,32,"04/10/14 00:00:00",,"3","30","Modernisation de la station vers une CPL+",,"04/10/14 16:43:00","04/10/14 16:42:00"
62,37,"06/10/11 00:00:00",,"3","30","changment de station / changement de sonde",,"05/19/14 11:52:00","05/19/14 11:52:00"
63,37,"01/01/07 00:00:00","12/31/08 00:00:00","5","50","jaugeages 2007-2008 réalisés par Hydro invest",,"05/19/14 11:55:00","05/19/14 11:55:00"
64,40,"01/01/15 00:00:00",,"5","50","station passée en TU en enregistrement des données et en envoi des données sur la banque hydro",,"01/14/15 11:53:00","01/14/15 11:53:00"
65,60,"09/18/12 12:00:00",,"2","24","réfection du seuil ",,"10/15/15 10:58:00","10/15/15 10:58:00"
66,62,"01/01/19 00:00:00",,"5","50","creation station",,"01/17/13 11:05:00","01/17/13 11:05:00"
67,62,"03/27/29 00:00:00",,"3","30","mise en place limnigraphe",,"01/17/13 11:05:00","01/17/13 11:05:00"
68,62,"09/20/95 00:00:00",,"3","32","refection complete de la station avec EDF",,"01/17/13 11:06:00","01/17/13 11:06:00"
69,62,"09/03/75 00:00:00",,"3","30","mise en place mouvement mensuel",,"01/17/13 13:20:00","01/17/13 13:20:00"
70,62,"06/28/88 00:00:00",,"5","50","changement échelle 4m",,"01/17/13 13:21:00","01/17/13 13:21:00"
71,62,"01/03/89 00:00:00",,"5","50","marquage du pont",,"01/17/13 13:21:00","01/17/13 13:21:00"
72,62,"09/20/95 00:00:00",,"3","31","pose d'un PLN",,"01/17/13 13:21:00","01/17/13 13:21:00"
73,62,"02/03/12 00:00:00","02/13/12 00:00:00","1","17","gel du cours d'eau; données débits estimées",,"02/11/13 11:11:00","02/11/13 11:11:00"
74,63,"01/01/58 00:00:00",,"5","50","creation station",,"01/17/13 11:07:00","01/17/13 11:07:00"
75,63,"10/06/64 00:00:00",,"3","30","mise en place limnigraphe",,"01/17/13 11:07:00","01/17/13 11:07:00"
76,63,"10/16/90 00:00:00",,"3","32","refection complete de la station + mise en place échelle de 0 à 2m",,"01/17/13 13:23:00","01/17/13 11:08:00"
77,63,"06/28/88 00:00:00",,"5","50","changement échelle 2m et planche",,"01/17/13 13:23:00","01/17/13 13:23:00"
78,63,"01/24/01 00:00:00",,"3","30","mise en place et en marche d'un Cyr2 avec sonde 4m",,"01/17/13 13:24:00","01/17/13 13:24:00"
79,63,"09/25/78 00:00:00","10/16/78 00:00:00","5","50","pont en réparation",,"01/17/13 13:24:00","01/17/13 13:24:00"
80,63,"03/09/78 00:00:00","06/23/78 00:00:00","5","50","mise en place échelle 0 à 1m",,"01/17/13 13:25:00","01/17/13 13:25:00"
81,63,"07/13/78 00:00:00",,"5","50","nouvelle mise en place d'un troncon de 0 à 1m suite à la disparition du précédent",,"01/17/13 13:26:00","01/17/13 13:26:00"
82,63,"02/02/12 00:00:00","02/15/12 00:00:00","1","17","gel du cours d'eau",,"04/18/13 10:21:00","04/18/13 10:21:00"
83,64,"01/01/23 00:00:00",,"5","50","creation station",,"01/17/13 10:55:00","01/17/13 10:55:00"
84,64,"01/01/51 00:00:00",,"3","30","mise en place limnigraphe",,"01/17/13 10:56:00","01/17/13 10:56:00"
85,64,"10/27/88 00:00:00",,"5","50","marquage pont",,"01/17/13 11:31:00","01/17/13 11:31:00"
86,64,"05/15/86 00:00:00",,"5","50","pose passerelle d'accès",,"01/17/13 11:31:00","01/17/13 11:31:00"
87,64,"02/03/87 00:00:00",,"5","50","pose échelle de lecture",,"01/17/13 11:31:00","01/17/13 11:31:00"
88,64,"07/11/90 00:00:00",,"3","30","mise en place hydrologic SA",,"01/17/13 11:32:00","01/17/13 11:32:00"
89,64,"07/28/94 00:00:00",,"3","32","mise en place panneau solaire",,"01/17/13 11:32:00","01/17/13 11:32:00"
90,64,"01/06/95 00:00:00",,"3","32","mise en place d'un parafoudre",,"01/17/13 11:33:00","01/17/13 11:33:00"
91,64,"12/15/12 00:00:00",,"2","21","crue de décembre 2012",,"04/03/13 14:04:00","04/03/13 14:04:00"
92,64,"08/05/13 00:00:00",,"5","50","vidange du barrage du pas de la mule pour travaux",,"08/21/13 10:20:00","08/21/13 10:20:00"
93,65,"04/24/68 00:00:00",,"5","50","mesure du zéro d'échelle (209.95m NGF)",,"11/16/12 15:22:00","11/16/12 11:57:00"
94,65,"01/01/66 00:00:00",,"5","50","mise en service station",,"11/16/12 15:22:00","11/16/12 15:20:00"
95,65,"01/01/66 00:00:00","09/15/00 00:00:00","5","50","Cette station a été gérée par le service de bassin Loire-Bretagne jusqu'au 15.09.2000
",,"11/16/12 15:21:00","11/16/12 15:21:00"
96,65,"01/01/09 00:00:00",,"5","50","Passage à l'heure TU ",,"01/17/13 15:21:00","11/16/12 15:21:00"
97,65,"01/01/66 00:00:00",,"5","50","creation station",,"01/17/13 10:51:00","01/17/13 10:51:00"
98,65,"10/27/88 00:00:00",,"5","50","marquage du pont",,"01/17/13 11:24:00","01/17/13 11:24:00"
99,65,"06/13/89 00:00:00",,"5","50","changement d'échelle de 0 à 1m",,"01/17/13 11:25:00","01/17/13 11:25:00"
100,65,"02/03/12 00:00:00","02/15/12 00:00:00","1","17","gel du cours d'eau",,"01/17/13 15:21:00","01/17/13 15:21:00"
101,66,"02/02/12 00:00:00","02/14/12 00:00:00","1","17","gel du cours d'eau",,"01/17/13 15:10:00","01/17/13 15:10:00"
102,67,"01/01/71 00:00:00",,"5","50","creation de la station",,"01/17/13 10:50:00","01/17/13 10:50:00"
103,67,"01/01/71 00:00:00",,"3","30","mise en place d'un limnigraphe",,"01/17/13 10:50:00","01/17/13 10:50:00"
104,67,"10/03/88 00:00:00","10/06/88 00:00:00","5","50","descente bas de gain de 0.4m et pose de 3.5 m d'échelle",,"01/17/13 11:26:00","01/17/13 11:26:00"
105,67,"10/27/88 00:00:00",,"5","50","marquage du pont",,"01/17/13 11:26:00","01/17/13 11:26:00"
