noct,nopt,h,q
672,10,1400,44
673,1,250,1
673,2,300,1.4
673,3,400,2.5
673,4,500,4
673,5,600,6.1999998
673,6,700,9.1999998
673,7,800,12.6
673,8,1000,21.6
673,9,1200,33
673,10,1600,66
673,11,1800,86
678,1,550,0.5
678,2,600,0.89999998
678,3,650,1.4
678,4,700,2.0999999
678,5,750,3.2
678,6,800,4.8000002
678,7,900,8.8000002
678,8,1000,13.8
678,9,1200,24
678,10,1500,49
743,1,220,0
743,2,260,0.12
743,3,280,0.2
743,4,300,0.30000001
743,5,320,0.41999999
743,6,420,1.12
743,7,450,1.36
743,8,510,1.9
743,9,550,2.3
743,10,650,3.3
743,11,750,4.5
743,12,900,6.5999999
743,13,1000,8.1999998
743,14,1100,10
743,15,2000,28
749,1,100,0.15000001
749,2,130,0.20999999
749,3,210,0.41
749,4,300,0.68000001
749,5,400,1.08
749,6,580,1.8
749,7,700,2.4000001
757,1,-100,1.2
757,2,0,1.72
757,3,50,2
757,4,100,2.3
757,5,250,3.3199999
757,6,300,3.7
757,7,350,4.0999999
757,8,400,4.5999999
757,9,850,10
757,10,1100,13.5
757,11,1350,17.5
757,12,1600,22
757,13,2000,30
757,14,2800,50
757,15,3000,56
759,1,50,0.0099999998
759,2,70,0.050000001
759,3,100,0.14
759,4,120,0.22
759,5,150,0.37
759,6,210,0.73000002
759,7,250,1.01
759,8,280,1.25
759,9,310,1.52
759,10,330,1.72
759,11,460,3.28
759,12,500,3.8
759,13,600,5.4000001
759,14,750,8.3999996
759,15,900,12
759,16,2000,45
770,1,80,0.029999999
770,2,120,0.090000004
770,3,180,0.23999999
770,4,240,0.50999999
770,5,300,0.93000001
770,6,350,1.4299999
770,7,400,2.0999999
770,8,600,5.5999999
770,9,700,7.5999999
3269,1,400,0.0099999998
3269,2,440,0.037999999
3269,3,480,0.093999997
3269,4,520,0.19
3269,5,600,0.49000001
3269,6,700,0.99000001
3269,7,800,1.55
3269,8,900,2.25
3269,9,1000,3.1500001
3270,1,450,0
3271,1,200,0.033
3271,2,250,0.052999999
3271,3,370,0.119
3271,4,440,0.315
3271,5,580,0.98000002
3271,6,700,1.8200001
821,1,100,0
821,2,120,0.050000001
821,3,200,0.37
821,4,300,1.4
821,5,400,3
821,6,500,5
821,7,600,8
821,8,700,12.5
821,9,1000,30.5
821,10,1500,62
821,11,2000,97
821,12,2400,130
855,1,100,0.090000004
855,2,120,0.12
855,3,150,0.18000001
855,4,200,0.33000001
855,5,300,0.70999998
855,6,400,1.15
855,7,500,1.8
855,8,600,2.5999999
855,9,800,4.5999999
856,1,100,0.12
856,2,110,0.14
856,3,150,0.23999999
856,4,170,0.30000001
856,5,210,0.44
856,6,250,0.60000002
856,7,300,0.82999998
856,8,400,1.4299999
856,9,500,2.2
856,10,600,3.2
860,1,80,0.050000001
860,2,100,0.15000001
860,3,130,0.36000001
860,4,150,0.54000002
860,5,200,1
860,6,300,2.0999999
860,7,400,3.4000001
860,8,500,5
861,1,200,0.41
861,2,250,0.70999998
861,3,300,1.05
861,4,350,1.5
861,5,400,2.05
861,6,450,2.6500001
870,1,160,0.0049999999
870,2,200,0.045000002
870,3,210,0.059999999
870,4,250,0.16
870,5,280,0.25
870,6,600,1.53
871,1,50,0.15000001
871,2,70,0.33000001
871,3,90,0.52999997
871,4,120,0.86000001
871,5,140,1.14
871,6,180,1.86
871,7,210,2.4300001
871,8,270,3.75
871,9,400,7
871,10,460,8.75
871,11,550,12
871,12,750,22
888,1,60,0.059999999
888,2,100,0.12
888,3,120,0.16
888,4,150,0.25
888,5,200,0.44999999
888,6,250,0.75
888,7,300,1.15
888,8,400,2.2
888,9,500,3.5
888,10,600,5.5
888,11,900,13
888,12,1200,22
888,13,1400,29
892,1,200,0.2
892,2,250,0.5
892,3,300,0.89999998
892,4,350,1.5
892,5,400,2.3
892,6,500,4.3000002
892,7,600,6.8000002
892,8,700,9.8000002
892,9,800,14
892,10,1000,23
892,11,1200,33
892,12,1500,51
892,13,1800,75
892,14,2100,105
893,1,100,0.059999999
893,2,150,0.31
893,3,160,0.37
893,4,170,0.44
893,5,180,0.51999998
893,6,200,0.69999999
893,7,240,1.1
893,8,260,1.3200001
893,9,300,1.8
893,10,350,2.5999999
893,11,400,3.5
893,12,450,4.6999998
893,13,500,6
893,14,800,15
893,15,900,19
893,16,1100,28
893,17,1200,33
893,18,1500,51
893,19,1800,75
893,20,2100,105
907,1,500,0.5
907,2,600,1.4
907,3,700,2.8
907,4,750,3.9000001
907,5,850,7.5999999
907,6,900,10.5
907,7,1000,20
907,8,1200,41
907,9,1400,65
907,10,1600,93
3270,2,500,0.050000001
3270,3,550,0.13
3270,4,600,0.25999999
3270,5,650,0.44999999
3270,6,700,0.69999999
908,1,500,0.40000001
908,2,600,1.2
908,3,700,2.8
908,4,750,4
908,5,800,5.5999999
908,6,900,9.6999998
908,7,1000,14.5
908,8,1100,20.5
908,9,1200,29
908,10,1400,56
908,11,1600,83
908,12,1700,98
908,13,1800,115
909,1,520,0.55000001
