noct,nopt,a,b,h0,hsup
1635,3,0.002305,1.1153,251,485
1635,4,0.0002145,1.6426,313,746
1635,5,3.383e-05,1.9069,254,2546
1636,1,0,0,0,197
1636,2,0.0002124,1.4036,129.2,366
1636,3,0.001022,1.2833,249.8,498
1636,4,0.0007721,1.447,336.5,752
1636,5,0.0007521,1.5091,422.1,1187
1636,6,0.0004483,1.5893,429.4,2546
1637,1,0,0,0,176
1637,2,0.0002583,1.4564,176,537
1637,3,0.0004858,1.5168,348.8,970
1637,4,0.0001042,1.7799,398,2700
1638,1,0,0,0,198
1638,2,0.0002231,1.4036,137.3,366
1638,3,0.001022,1.2833,249.8,498
1638,4,0.0007721,1.447,336.5,752
1638,5,0.0007521,1.5091,422.1,1187
1638,6,0.0004483,1.5893,429.4,2546
1640,1,0,0,0,99
1640,2,0.0001468,1.2965,91.5,199
1640,3,0.0002464,1.3762,142.8,305
1640,4,0.0001312,1.4454,108.4,368
1640,5,0.001435,1.2965,290.4,423
1640,6,0.0009164,1.3267,256.6,688
1640,7,0.02158,1,555,1023
1640,8,0.001564,1.4465,592.5,2693
1641,1,0,0,0,99
1641,2,0.0001468,1.2965,91.5,199
1641,3,0.0002464,1.3762,142.8,305
1641,4,0.0001312,1.4454,108.4,368
1641,5,0.0008102,1.2965,247.3,423
1641,6,0.000377,1.3267,145,685
1641,7,0.02518,1,621.8,1023
1641,8,0.001564,1.4465,592.5,2693
1642,1,0,0,0,198
1642,2,9.352999999999999e-05,1.569,133.2,387
1642,3,0.002305,1.1153,251,485
1642,4,0.0002145,1.6426,313,746
1642,5,0.0004416,1.5893,409.2,2546
1643,1,0,0,0,182
1643,2,0.0002662,1.3498,146,332
1643,3,8.94e-05,1.6668,200,636
1643,4,0.0003714,1.5663,377,891
1643,5,0.0005597999999999999,1.5723,504,2501
1653,1,0,0,0,198
1653,2,0.0002327,1.4036,139.1,300
1653,3,0.0002629,1.4036,152.5,361
1653,4,0.0009365,1.2833,233.2,417
1653,5,0.001102,1.2833,255,460
1653,6,3.48e-15,5,-322.9,510
1653,7,4.14e-15,5,-293.9,535
1653,8,3.896e-15,5,-304,564
1653,9,4.819e-15,5,-267.9,638
1653,10,0.0008671,1.447,362.8,692
1653,11,0.0009668,1.447,386.6,750
1653,12,0.0007292000000000001,1.5091,406.3,1187
1653,13,0.0004483,1.5893,429.4,2546
1654,1,0,0,0,198
1654,2,0.0002327,1.4036,139.1,300
1654,3,0.0002473,1.4036,145.9,366
1654,4,0.0009514,1.2833,238.3,401
1654,5,0.001299,1.2833,273.3,438
1654,6,0.001447,1.2833,286.6,494
1654,7,0.0006717,1.447,301.3,570
1654,8,0.0007078,1.447,310.8,637
1654,9,0.0008140000000000001,1.447,340.7,750
1654,10,0.0007292000000000001,1.5091,406.3,1187
1654,11,0.0004483,1.5893,429.4,2546
1655,1,0,0,0,156
1655,2,4.762e-05,1,-1230,177
1655,3,0.003985,0.5004999999999999,-103.9,194
1655,4,0.000198,1.4036,129.3,205
1655,5,0.0002582,1.4036,142.3,295
1655,6,1.371e-07,2.5528,-9.5,361
1655,7,3.434e-15,5,-317.8,421
1655,8,5.527e-15,5,-250.7,472
1655,9,4.225e-15,5,-290.6,510
1655,10,4.14e-15,5,-293.9,535
1655,11,3.896e-15,5,-304,564
1655,12,4.819e-15,5,-267.9,638
1655,13,0.0008671,1.447,362.8,692
1655,14,0.0009668,1.447,386.6,750
1655,15,0.0007292000000000001,1.5091,406.3,1187
1655,16,0.0004483,1.5893,429.4,2546
1656,1,0,0,0,140
1656,2,8.961e-07,2.2834,45.6,279
1656,3,1.132e-06,2.2834,68.2,361
1656,4,4.302e-15,5,-285.3,421
1656,5,5.527e-15,5,-251,472
1656,6,4.225e-15,5,-291,510
1656,7,4.14e-15,5,-294,535
1656,8,3.896e-15,5,-304,564
1656,9,4.819e-15,5,-268,638
1656,10,0.0008671,1.447,363,692
1656,11,0.0009668,1.447,387,750
1656,12,0.0007293,1.5091,406,1187
1656,13,0.0004482,1.5893,429,2546
1657,1,0,0,0,142
1657,2,4.347e-08,2.2834,-609,278
1657,3,1.072e-06,2.2834,60,361
1657,4,3.934e-15,5,-298,421
1657,5,5.527e-15,5,-251,472
1657,6,4.225e-15,5,-291,510
1657,7,4.14e-15,5,-294,535
1657,8,3.896e-15,5,-304,564
1657,9,4.819e-15,5,-268,638
1657,10,0.0008671,1.447,363,692
1657,11,0.0009668,1.447,387,750
1657,12,0.0007293,1.5091,406,1187
1657,13,0.0004482,1.5893,429,2546
4222,1,0,0,0,203
4222,2,3.842e-05,1.5723,202,510
4222,3,0.002736,1.0658,424,610
4222,4,0.001659,1.33,514,1150
4222,5,0.0001031,1.6338,101,4000
4223,1,0,0,0,292
4223,2,6.667e-05,1.5552,264,576
4223,3,2.067e-05,1.92,383,1084
4223,4,0.00104,1.3741,538,3989
4224,1,0,0,0,338
4224,2,0.0003157,1.3207,288.2,410
4224,3,0.0003842,1.3707,321.5,528
4224,4,0.0005942,1.3893,387.6,678
4224,5,0.000807,1.4025,456.7,2836
4225,1,0,0,0,313
4225,2,4.309e-05,1.6437,260.5,390
4225,3,5.935e-05,1.6437,283.3,430
4225,4,9.328e-07,2.3739,248.1,465
4225,5,1.009e-06,2.3739,255.2,520
4225,6,9.902000000000001e-07,2.3739,253,578
4225,7,2.108e-06,2.2463,255.6,676
4225,8,0.001199,1.3547,468.5,1490
4225,9,0.001173,1.3547,451.7,2836
4226,1,0,0,0,361
4226,2,3.127e-05,1.7482,308,451
4226,3,0.000271,1.4877,371,688
4226,4,0.0007316,1.4147,477,2350
4227,1,0,0,0,378
4227,2,7.29e-05,1.586,312,448
4227,3,5.112e-05,1.742,341,692
4227,4,0.0008462,1.3966,491,2875
4228,1,0,0,0,353
4228,2,0.0002743,1.4317,329,491
4228,3,2.593e-05,1.8536,309,789
4228,4,0.0008832,1.3932,495,2836
1685,1,0,0,0,531
1685,2,0.005304,1.347,178.7,875
1685,3,0.01691,1.2333,377.8,1111
1685,4,0.003334,1.4347,210.1,1603
1685,5,0.0004822,1.6519,-130.1,2558
1686,1,0,0,0,476
1686,2,0.02364,1.257,465.3,668
1686,3,0.005697,1.347,258.6,973
1686,4,0.002635,1.4712,280.2,1554
1686,5,0.000571,1.6409,10,2106
1686,6,5.559e-05,1.8843,-581.4,3586
6044,1,0,0,0,195
6044,2,0.01145,1.1559,92.8,632
6044,3,0.009424999999999999,1.347,377.4,830
1688,1,0,0,0,195
1688,2,0.0004717,1.6536,20.2,600
1688,3,0.001052,1.5558,83.40000000000001,779
1688,4,0.005471,1.347,215,936
1688,5,0.002667,1.4487,190.1,1142
1688,6,0.01167,1.2679,352,1569
1688,7,0.04244,1.1163,564.1,2234
6350,1,0,0,0,140
6350,2,8.961e-07,2.2834,45.6,279
6350,3,1.132e-06,2.2834,68.2,361
6350,4,4.302e-15,5,-285.3,421
6350,5,5.527e-15,5,-251,472
6350,6,4.225e-15,5,-291,510
6350,7,4.14e-15,5,-294,535
6350,8,3.896e-15,5,-304,564
6350,9,4.819e-15,5,-268,638
6350,10,0.000909,1.447,371.6,692
6350,11,0.0009613999999999999,1.447,383.8,893
6350,12,0.0008661,1.5091,470.7,1189
1688,8,5.765e-05,1.8843,-462,6139
1689,1,0,0,0,195
1689,2,0.0003459,1.6536,-15.9,629
1689,3,0.003972,1.347,169.8,765
1689,4,0.005077,1.347,269,892
1689,5,0.02222,1.1828,455.1,1133
1689,6,0.02422,1.1828,502.8,1577
1689,7,0.0005661,1.6409,66.7,2190
1689,8,5.776e-05,1.8843,-460.6,6134
1691,1,0,0,0,399
1691,2,0.006032,1.257,399,499
1691,3,0.02364,1.257,465.3,668
1691,4,0.005697,1.347,258.6,973
1691,5,0.002635,1.4712,280.2,1554
1691,6,0.000571,1.6409,10,2106
1691,7,5.559e-05,1.8843,-581.4,3586
1692,1,0,0,0,401
1692,2,0.004677,1.257,401,498
1692,3,0.01596,1.257,461.4,672
1692,4,0.005847,1.347,361.5,978
1692,5,0.003202,1.4712,438.2,1554
1692,6,0.000571,1.6409,10,2106
1692,7,5.559e-05,1.8843,-581.4,3586
1693,1,0,0,0,189
1693,2,0.006527,1.2663,141,660
1693,3,0.005649,1.347,263,971
1693,4,0.002685,1.4712,296,1554
1693,5,0.0005710999999999999,1.6409,10,2106
8188,1,0,0,0,337
8188,2,0.0003709,1.3207,290.5,400
8188,3,0.0003559,1.3707,305,534
1693,6,5.559e-05,1.8843,-581,3586
1694,1,0,0,0,189
1694,2,0.006527,1.2663,141,660
1694,3,0.005649,1.347,263,971
1694,4,0.002685,1.4712,296,1554
1694,5,0.0005710999999999999,1.6409,10,2106
1694,6,5.559e-05,1.8843,-581,3700
1696,1,0,0,0,202
1696,2,0.006691,1.2663,172.7,659
1696,3,1.864e-07,2.6731,-289.2,996
1696,4,0.002718,1.4712,337.5,1562
1696,5,0.0005803,1.6409,57.9,2110
1696,6,5.754e-05,1.8843,-502.2,3700
1697,6,2.473e-16,5,-1723.8,1256
1697,7,0.01313,1.2679,505,1586
1697,8,0.04585,1.1163,675.5,2234
1697,9,5.765e-05,1.8843,-462,6139
1697,1,0,0,0,195
1697,2,0.0003953,1.6536,0.5,600
1697,3,0.0008476,1.5558,51.1,782
1697,4,3.835e-09,3.101,-664.4,945
4234,1,0,0,0,332
4234,2,1.062e-05,1.9612,264.6,521
4234,3,1.367e-05,1.9612,295.6,728
4234,4,0.001227,1.3509,488,2836
4235,1,0,0,0,338
4235,2,6.072e-05,1.5162,239.4,410
4235,3,0.0003427,1.3448,319.3,549
4235,4,0.001392,1.2927,452.3,682
1697,5,2.168e-16,5,-1798.5,1078
1698,1,0,0,0,195
1698,2,0.000164,1.6536,-42.4,581
1698,3,0.000604,1.5558,176.8,762
1698,4,7.153e-09,3.101,-186.6,859
1698,5,2.155e-15,5,-643.5,1043
1698,6,9.46e-16,5,-945.3,1209
1698,7,4.786e-16,5,-1259.9,1462
1698,8,0.01513,1.2679,671,1790
1698,9,0.0501,1.1163,796.9,2198
1698,10,5.784e-05,1.8843,-450.5,6139
1699,1,0,0,0,195
1699,2,0.0001535,1.6536,-52.1,611
1699,3,0.0005256,1.5558,158.8,708
1699,4,0.0006472,1.5558,227.5,799
6043,1,0,0,0,189
6043,2,0.008168999999999999,1.2663,148.8,653
6043,3,0.005773,1.347,203.6,967
6043,4,0.002273,1.4712,145.8,1554
6043,5,0.0005710999999999999,1.6409,10,2106
6044,4,0.02093,1.1828,291.3,1554
6044,5,0.0005710999999999999,1.6409,10,2106
6044,6,5.559e-05,1.8843,-581,3700
6045,1,0,0,0,219
6045,2,0.0001488,1.6536,-442.9,553
6045,3,0.00343,1.347,86.40000000000001,795
6045,4,0.02218,1.1828,431.4,995
6045,5,0.02272,1.1828,442.7,1553
6045,6,0.0005643999999999999,1.6409,62.8,2190
6045,7,5.776e-05,1.8843,-460.6,6134
1699,5,1.862e-15,5,-666.8,861
1699,6,2.6e-15,5,-568.1,1045
1699,7,1.495e-15,5,-757,1209
1699,8,4.786e-16,5,-1259.9,1462
1699,9,0.01513,1.2679,671,1790
1699,10,0.0501,1.1163,796.9,2198
1699,11,5.784e-05,1.8843,-450.5,6139
1700,1,0,0,0,195
1700,2,0.0002875,1.6536,25.9,561
1700,3,0.0006578000000000001,1.5558,94.5,680
1700,4,0.0418,1,361.8,802
1700,5,5.368e-16,5,-1225.7,925
1700,6,6.096e-16,5,-1171.7,1066
1700,7,4.519e-16,5,-1309.7,1210
1700,8,3.091e-16,5,-1508.6,1462
1700,9,0.01513,1.2679,671,1790
1700,10,0.0501,1.1163,796.9,2198
1700,11,5.784e-05,1.8843,-450.5,6139
1701,1,0,0,0,272
1701,2,0.0003739,1.6536,-95.3,606
1701,3,0.001114,1.5558,81.2,776
1701,4,4.475e-09,3.101,-689.3,947
1701,5,2.438e-16,5,-1845.4,1107
1701,6,1.127e-16,5,-2338,1347
1701,7,0.09881,0.9993,568.2,1636
1701,8,1.362e-05,2.0447,-698.9,3297
1701,9,1.276e-05,2.0414,-884.4,4575
1701,10,1.276e-05,2.0414,-884.4,6139
1702,1,0,0,0,195
1702,2,0.0002875,1.6536,25.9,561
1702,3,0.0004726,1.5558,-16,687
1702,4,0.03545,1,328.8,797
1702,5,1.086e-15,5,-928.1,929
1702,6,8.275e-16,5,-1032,1068
1702,7,4.874e-16,5,-1266.6,1211
1702,8,3.462e-16,5,-1442,1462
8188,4,0.0005896,1.3893,385.9,678
8188,5,0.000807,1.4025,456.7,2836
8193,1,0,0,0,332
8193,2,1.062e-05,1.9612,264.6,521
8193,3,1.367e-05,1.9612,295.6,728
8193,4,0.001227,1.3509,488,2836
8194,1,0,0,0,345
8194,2,3.361e-05,1.8185,304,728
8194,3,0.001227,1.3509,488,2836
1702,9,0.01526,1.2679,676.7,1748
1702,10,0.04796,1.1163,757.1,2198
1702,11,5.832e-05,1.8843,-421.7,6139
1703,1,0,0,0,195
1703,2,0.0003953,1.6536,0.5,600
1703,3,0.0008476,1.5558,51.1,782
1703,4,3.835e-09,3.101,-664.4,945
1703,5,2.168e-16,5,-1798.5,1078
1703,6,2.473e-16,5,-1723.8,1256
1703,7,0.01313,1.2679,505,1586
1703,8,0.04585,1.1163,675.5,2234
1703,9,5.765e-05,1.8843,-462,6139
